TIME,TollNow Point,Referenz Point,Abstand beider Punkte
2022-12-28T08:42:09,"(52.533454814798056, 13.365288061792953)","(52.5335336486667, 13.3651973603333)",10.699538918564725
2022-12-28T08:42:11,"(52.5332858602053, 13.365461559861672)","(52.533366023, 13.3653631333333)",11.125528275468175
2022-12-28T08:42:13,"(52.53312242661977, 13.365657004899978)","(52.5332063728333, 13.3655188263333)",13.209345812274401
2022-12-28T08:42:15,"(52.53296311617847, 13.365810535465844)","(52.5330542025, 13.365665967)",14.07856434497082
2022-12-28T08:42:16,"(52.53289589912853, 13.365877478204007)","(52.5329810836667, 13.3657373283333)",13.401029366635715
2022-12-28T08:42:18,"(52.53276885037968, 13.365994042532884)","(52.5328432301667, 13.365873374)",11.619981555487831
2022-12-28T08:42:20,"(52.53266180425058, 13.366087566960754)","(52.5327242351667, 13.365990672)",9.547108572519656
2022-12-28T08:42:21,"(52.53262396200407, 13.36611468734512)","(52.5326724921667, 13.366040963)",7.3476714618121814
2022-12-28T08:42:24,"(52.53256351329798, 13.366180995443369)","(52.5325540896667, 13.3661528288333)",2.1743694380395966
2022-12-28T08:42:26,"(52.53253965902316, 13.366202371028145)","(52.5325246358333, 13.3661792996667)",2.28603971256986
2022-12-28T08:42:29,"(52.532509375523695, 13.366232467028585)","(52.532504851, 13.3661943578333)",2.626389367761284
2022-12-28T08:42:31,"(52.53246567312066, 13.366273468630771)","(52.5324633821667, 13.3662282043333)",3.072314319944747
2022-12-28T08:42:33,"(52.53238546681742, 13.366367748269422)","(52.5323758961667, 13.3663012393333)",4.622917529626372
2022-12-28T08:42:35,"(52.53227112989921, 13.366468152109924)","(52.5322777436667, 13.3663951411667)",4.993031515661947
2022-12-28T08:42:36,"(52.53221103341116, 13.366514225934866)","(52.5322238251667, 13.3664474411667)",4.736070448061571
2022-12-28T08:42:38,"(52.532083453858526, 13.36665650137837)","(52.5321057851667, 13.3665666525)",6.565248503323196
2022-12-28T08:42:39,"(52.53201929632768, 13.36671862208417)","(52.5320462506667, 13.3666343455)",6.440524317315166
2022-12-28T08:42:41,"(52.53189958949292, 13.366840156443736)","(52.5319255993333, 13.3667736111667)",5.350327669432094
2022-12-28T08:42:43,"(52.531770807406026, 13.366969145332869)","(52.5317948641667, 13.3669103876667)",4.790854151967666
2022-12-28T08:42:45,"(52.53163909271417, 13.367093757429702)","(52.5316636395, 13.3670410246667)",4.491480885325622
2022-12-28T08:42:46,"(52.53157297118975, 13.367157267529889)","(52.5315977945, 13.3671055738333)",4.454858599650294
2022-12-28T08:42:48,"(52.53144635728185, 13.367282032121103)","(52.5314671356667, 13.367232306)",4.0806995632509855
2022-12-28T08:42:50,"(52.5313157983236, 13.367414660072452)","(52.5313383641667, 13.3673557588333)",4.708551120806268
2022-12-28T08:42:51,"(52.53124943096813, 13.36747026487507)","(52.5312765086667, 13.3674170536667)",4.692658548740378
2022-12-28T08:42:53,"(52.53113695122496, 13.367577419195012)","(52.5311593973333, 13.367532715)",3.920932513155255
2022-12-28T08:42:55,"(52.531025539996925, 13.367687050189613)","(52.5310474806667, 13.3676422216667)",3.891953254275766
2022-12-28T08:42:57,"(52.53091130502199, 13.367798869454068)","(52.5309277736667, 13.3677618975)",3.099678034686572
2022-12-28T08:42:59,"(52.53078832216331, 13.36792171369789)","(52.5307968103333, 13.3678922373333)",2.206004576140628
2022-12-28T08:43:00,"(52.53072549159504, 13.367984409681698)","(52.5307305803333, 13.3679579301667)",1.8784303432480258
2022-12-28T08:43:02,"(52.53060214266348, 13.3681081624734)","(52.5306002121667, 13.368086519)",1.4797076941269265
2022-12-28T08:43:04,"(52.53048763365822, 13.368217773240248)","(52.5304736348333, 13.3682118568333)",1.607225613270286
2022-12-28T08:43:06,"(52.53037057142387, 13.368329742279354)","(52.5303481561667, 13.3683356098333)",2.523870881503546
2022-12-28T08:43:08,"(52.53024806186203, 13.36845043346582)","(52.5302192761667, 13.3684630161667)",3.312062771802856
2022-12-28T08:43:09,"(52.53018656161407, 13.368510789118869)","(52.53015498, 13.368525586)",3.6515809630497156
2022-12-28T08:43:11,"(52.5300591874754, 13.368635789258825)","(52.5300248175, 13.3686514441667)",3.965775284811581
2022-12-28T08:43:12,"(52.52999184727519, 13.368701114668555)","(52.5299569415, 13.3687166865)",4.021746547462325
2022-12-28T08:43:14,"(52.5298415445212, 13.368842264604138)","(52.5298128746667, 13.3688442656667)",3.190819273433574
2022-12-28T08:43:16,"(52.52970080464113, 13.368966522562523)","(52.5296581453333, 13.368970326)",4.750477565649759
2022-12-28T08:43:17,"(52.52962349637605, 13.36904364720782)","(52.5295755858333, 13.3690441075)",5.327507635259313
2022-12-28T08:43:19,"(52.52945158395207, 13.369201578848898)","(52.5293959455, 13.3691922003333)",6.219165376555281
2022-12-28T08:43:20,"(52.52936258429085, 13.369271178039268)","(52.5293047748333, 13.3692573108333)",6.496212846304389
2022-12-28T08:43:22,"(52.529194038430845, 13.369372748383125)","(52.5291441711667, 13.369367174)",5.5578015170968635
2022-12-28T08:43:24,"(52.52907500546097, 13.369445793599832)","(52.5290184755, 13.3694414488333)",6.2927209507977455
2022-12-28T08:43:26,"(52.52895140893888, 13.36937226491082)","(52.5289046808333, 13.3693822638333)",5.239776192826912
2022-12-28T08:43:27,"(52.52890879746146, 13.36927358364038)","(52.5288618476667, 13.3692915068333)",5.359528599645411
2022-12-28T08:43:29,"(52.52883032717764, 13.369055790072633)","(52.5287814098333, 13.3690673383333)",5.4951801216472855
2022-12-28T08:43:31,"(52.52873486181712, 13.368836069508124)","(52.5286866916667, 13.3688255881667)",5.403008589963012
2022-12-28T08:43:32,"(52.528670111518814, 13.368717800644028)","(52.5286289965, 13.3686980915)",4.762231219896122
2022-12-28T08:43:34,"(52.52851935431411, 13.368478838459206)","(52.5284904031667, 13.3684454948333)",3.930799177115774
2022-12-28T08:43:36,"(52.52837720196064, 13.368253517118749)","(52.528333947, 13.3682250971667)",5.17974463845237
2022-12-28T08:43:37,"(52.52828431547885, 13.368159024054975)","(52.5282486188333, 13.3681241248333)",4.61832265380634
2022-12-28T08:43:39,"(52.52807136094803, 13.367956640097288)","(52.528052825, 13.3679383916667)",2.402514810204884
2022-12-28T08:43:40,"(52.52795843087228, 13.367875409536966)","(52.5279446473333, 13.3678598951667)",1.8575638836989588
2022-12-28T08:43:41,"(52.52784485358409, 13.367817365489085)","(52.5278349231667, 13.3677970481667)",1.7630534779241198
2022-12-28T08:43:43,"(52.52762131005003, 13.367732761707694)","(52.527615125, 13.3677128273333)",1.5137846183703823
